,sample,Depth_bin,subtype,count,proportion,group
249,DLE2,"(0.9, 1.0]",Basal KC,225,2.651113467656416,DLE
250,DLE2,"(0.9, 1.0]",Spinous KC-2,77,0.9072699422646401,DLE
251,DLE2,"(0.9, 1.0]",Channel KC,12,0.14139271827500885,DLE
252,DLE2,"(0.9, 1.0]",Spinous KC-1,102,1.201838105337575,DLE
253,DLE2,"(0.9, 1.0]",Cycling KC,865,10.192058442323553,DLE
254,DLE2,"(0.9, 1.0]",ORS,85,1.0015317544479794,DLE
255,DLE2,"(0.9, 1.0]",Spinous KC-4,1087,12.807823730411217,DLE
256,DLE2,"(0.9, 1.0]",HF-SG,51,0.6009190526687875,DLE
257,DLE2,"(0.9, 1.0]",OB,117,1.378579003181336,DLE
258,DLE2,"(0.9, 1.0]",Stress KC,141,1.6613644397313538,DLE
259,DLE2,"(0.9, 1.0]",IRS,36,0.4241781548250265,DLE
260,DLE3,"(0.5, 0.6]",Spinous KC-3,222,6.042460533478498,DLE
261,DLE3,"(0.5, 0.6]",Granular KC,0,0.0,DLE
262,DLE3,"(0.5, 0.6]",Basal KC,8,0.21774632553075668,DLE
263,DLE3,"(0.5, 0.6]",Spinous KC-2,8,0.21774632553075668,DLE
264,DLE3,"(0.5, 0.6]",Channel KC,21,0.5715841045182363,DLE
265,DLE3,"(0.5, 0.6]",Spinous KC-1,0,0.0,DLE
266,DLE3,"(0.5, 0.6]",Cycling KC,10,0.2721829069134458,DLE
267,DLE3,"(0.5, 0.6]",ORS,0,0.0,DLE
268,DLE3,"(0.5, 0.6]",Spinous KC-4,43,1.170386499727817,DLE
269,DLE3,"(0.5, 0.6]",HF-SG,1,0.027218290691344585,DLE
270,DLE3,"(0.5, 0.6]",OB,1,0.027218290691344585,DLE
271,DLE3,"(0.5, 0.6]",Stress KC,9,0.24496461622210125,DLE
272,DLE3,"(0.5, 0.6]",IRS,1,0.027218290691344585,DLE
273,DLE3,"(0.1, 0.2]",Spinous KC-3,139,3.783342406096897,DLE
274,DLE3,"(0.1, 0.2]",Granular KC,115,3.130103429504627,DLE
275,DLE3,"(0.1, 0.2]",Basal KC,0,0.0,DLE
276,DLE3,"(0.1, 0.2]",Spinous KC-2,5,0.1360914534567229,DLE
277,DLE3,"(0.1, 0.2]",Channel KC,2,0.05443658138268917,DLE
278,DLE3,"(0.1, 0.2]",Spinous KC-1,2,0.05443658138268917,DLE
279,DLE3,"(0.1, 0.2]",Cycling KC,1,0.027218290691344585,DLE
280,DLE3,"(0.1, 0.2]",ORS,0,0.0,DLE
281,DLE3,"(0.1, 0.2]",Spinous KC-4,5,0.1360914534567229,DLE
282,DLE3,"(0.1, 0.2]",HF-SG,0,0.0,DLE
283,DLE3,"(0.1, 0.2]",OB,0,0.0,DLE
284,DLE3,"(0.1, 0.2]",Stress KC,5,0.1360914534567229,DLE
285,DLE3,"(0.1, 0.2]",IRS,0,0.0,DLE
286,DLE3,"(0.7, 0.8]",Spinous KC-3,134,3.6472509526401744,DLE
287,DLE3,"(0.7, 0.8]",Granular KC,0,0.0,DLE
