,Depth_bin,sample,expression,gene,group
398,0.6-0.7,HC4,0.2633073915514657,IL20RB,HC
399,0.6-0.7,SLE1,0.4837091074581578,IL20RB,SLE
400,0.6-0.7,SLE2,0.29900981395687665,IL20RB,SLE
401,0.6-0.7,SLE3,0.3977059500355921,IL20RB,SLE
402,0.6-0.7,SLE4,0.35068548700301627,IL20RB,SLE
403,0.6-0.7,SLE5,0.22646296613652578,IL20RB,SLE
404,0.6-0.7,SLE6,0.24931908028138144,IL20RB,SLE
405,0.7-0.8,DLE1,0.20211879852183667,IL20RB,DLE
406,0.7-0.8,DLE2,0.4035564469928288,IL20RB,DLE
407,0.7-0.8,DLE3,0.21061985995945315,IL20RB,DLE
408,0.7-0.8,DLE4,0.4096200391602851,IL20RB,DLE
409,0.7-0.8,DLE5,0.44709565607231094,IL20RB,DLE
410,0.7-0.8,HC1,0.611973023631103,IL20RB,HC
411,0.7-0.8,HC2,0.3161369693463845,IL20RB,HC
412,0.7-0.8,HC3,0.317359284745938,IL20RB,HC
413,0.7-0.8,HC4,0.13915620020838684,IL20RB,HC
414,0.7-0.8,SLE1,0.36632852427404644,IL20RB,SLE
415,0.7-0.8,SLE2,0.29861715773371716,IL20RB,SLE
416,0.7-0.8,SLE3,0.35140370934066323,IL20RB,SLE
417,0.7-0.8,SLE4,0.3007289477552403,IL20RB,SLE
418,0.7-0.8,SLE5,0.16609648150283945,IL20RB,SLE
419,0.7-0.8,SLE6,0.2952922046978056,IL20RB,SLE
420,0.8-0.9,DLE1,0.24168539515274512,IL20RB,DLE
421,0.8-0.9,DLE2,0.40951110639560734,IL20RB,DLE
422,0.8-0.9,DLE3,0.20758658679978412,IL20RB,DLE
